cust_key,customer_id,age,gender,tenure_months,credit_score,num_products,is_churned,churn_month,clv_ltv,avg_monthly_balance,avg_ticket_res_time_hrs,total_tickets,high_severity_tickets,offers_received,offers_accepted,offer_acceptance_rate,dw_start_date,dw_end_date,is_current,geography
118,15568982,24,Female,72,726,3,0,NULL,0.0,0.0,3.1199999999999997,6,3,4,2,0.5,2024-12-31,9999-12-31,1,France
119,15569050,45,Male,72,444,1,1,2024-07,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
121,15569098,44,Male,72,627,1,1,2024-07,22864.35,158780.19999999998,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
122,15569120,30,Male,84,615,3,0,NULL,0.0,0.0,NULL,0,0,2,1,0.5,2024-12-31,9999-12-31,1,France
123,15569178,18,Female,48,570,1,0,NULL,7868.81,81966.74958333334,-4.03,2,1,5,0,0.0,2024-12-31,9999-12-31,1,France
126,15569222,32,Male,72,781,2,0,NULL,21092.47,146475.45833333334,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
128,15569248,43,Female,120,554,2,1,2024-06,0.0,0.0,NULL,4,2,4,0,0.0,2024-12-31,9999-12-31,1,France
129,15569249,55,Female,72,576,4,1,2024-01,6173.2,42869.46153846154,NULL,0,0,1,1,1.0,2024-12-31,9999-12-31,1,France
130,15569264,32,Male,60,622,1,0,NULL,21807.63,181730.21125000002,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
131,15569266,28,Male,84,644,1,0,NULL,25708.89,153029.10499999995,NULL,1,0,0,0,NULL,2024-12-31,9999-12-31,1,France
133,15569364,36,Male,36,666,2,0,NULL,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
134,15569394,24,Male,24,704,2,0,NULL,7149.25,148942.61125,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
138,15569432,48,Female,108,656,1,1,2024-05,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
140,15569446,34,Female,96,732,3,0,NULL,23503.58,122414.50166666666,-4.33,4,2,1,0,0.0,2024-12-31,9999-12-31,1,France
141,15569451,35,Male,24,463,1,0,NULL,4850.33,101048.52708333333,NULL,1,0,1,0,0.0,2024-12-31,9999-12-31,1,France
143,15569503,44,Male,72,765,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
144,15569526,40,Male,120,601,1,0,NULL,23202.84,96678.51791666668,NULL,1,0,1,0,0.0,2024-12-31,9999-12-31,1,France
146,15569572,42,Male,72,778,2,0,NULL,0.0,0.0,-3.47,4,0,1,0,0.0,2024-12-31,9999-12-31,1,France
148,15569595,50,Female,72,678,1,0,NULL,0.0,0.0,4.45,4,3,2,0,0.0,2024-12-31,9999-12-31,1,France
153,15569666,45,Female,48,517,1,1,2024-01,0.0,0.0,NULL,2,0,1,0,0.0,2024-12-31,9999-12-31,1,France
157,15569759,27,Female,48,583,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
159,15569807,34,Female,96,673,1,1,2024-07,8256.4,43002.08315789474,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
160,15569867,29,Female,96,529,2,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
161,15569878,37,Male,36,592,1,0,NULL,6807.53,94548.99375000001,NULL,0,0,5,2,0.4,2024-12-31,9999-12-31,1,France
162,15569892,35,Male,120,516,1,0,NULL,13720.41,57168.38083333333,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
167,15570004,31,Male,36,850,1,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
169,15570060,43,Female,96,586,1,1,2024-09,25905.83,134926.1985714286,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
172,15570087,44,Female,96,664,1,1,2024-03,27462.61,143034.44666666668,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
173,15570134,35,Female,72,683,2,0,NULL,27713.46,192454.57583333334,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
174,15570141,34,Female,36,724,1,0,NULL,9501.26,131961.90083333332,NULL,1,1,3,0,0.0,2024-12-31,9999-12-31,1,France
175,15570145,23,Female,24,763,2,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
177,15570194,29,Male,60,412,2,0,NULL,0.0,0.0,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
182,15570326,34,Male,72,621,2,0,NULL,0.0,0.0,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
183,15570360,35,Female,48,641,2,0,NULL,0.0,0.0,NULL,0,0,1,1,1.0,2024-12-31,9999-12-31,1,France
186,15570417,35,Male,12,579,2,0,NULL,0.0,0.0,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
188,15570508,49,Male,84,600,1,0,NULL,15524.7,92408.95541666668,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
190,15570601,47,Female,108,785,2,1,2024-05,25730.81,119124.10529411767,NULL,1,0,2,0,0.0,2024-12-31,9999-12-31,1,France
192,15570681,24,Male,12,560,1,0,NULL,2895.57,120648.7675,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
193,15570769,69,Male,108,494,1,0,NULL,19032.09,88111.51166666666,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
195,15570855,38,Male,84,670,1,0,NULL,0.0,0.0,NULL,0,0,2,1,0.5,2024-12-31,9999-12-31,1,France
198,15570895,42,Male,120,608,2,0,NULL,39190.55,163293.94125,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
201,15570931,61,Male,60,620,1,1,2024-05,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
202,15570932,43,Male,84,666,2,1,2024-05,24031.26,143043.23588235292,-14.78,2,1,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
205,15570970,42,Female,108,647,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
207,15571002,44,Female,48,706,2,0,NULL,12187.48,126952.93458333332,-19.37,5,2,5,0,0.0,2024-12-31,9999-12-31,1,France
208,15571059,54,Female,36,734,1,1,2024-08,0.0,0.0,NULL,0,0,1,1,1.0,2024-12-31,9999-12-31,1,France
210,15571081,41,Female,84,773,1,0,NULL,32057.56,190818.8275,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
211,15571121,50,Female,96,670,1,0,NULL,26471.12,137870.41416666668,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
212,15571144,28,Male,120,655,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
218,15571281,28,Male,120,651,2,0,NULL,19382.76,80761.48041666667,NULL,0,0,4,2,0.5,2024-12-31,9999-12-31,1,France
225,15571550,39,Male,108,699,1,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
229,15571689,37,Female,60,740,2,0,NULL,0.0,0.0,NULL,2,2,0,0,NULL,2024-12-31,9999-12-31,1,France
231,15571756,28,Female,60,724,1,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
232,15571778,55,Female,120,817,1,1,2024-03,28277.21,117821.71133333334,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
236,15571873,24,Male,108,655,2,0,NULL,22748.56,105317.40375,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
238,15571928,43,Female,48,679,3,1,2024-03,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
241,15571973,38,Female,24,776,1,0,NULL,8226.57,171386.92750000005,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
244,15572022,36,Female,72,605,1,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
247,15572051,40,Male,36,721,1,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
249,15572093,24,Female,84,613,1,0,NULL,22962.97,136684.36583333332,NULL,1,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
251,15572145,34,Female,96,767,2,0,NULL,0.0,0.0,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
253,15572174,29,Male,36,825,2,0,NULL,10595.21,147155.73875000002,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
256,15572291,40,Male,72,825,1,0,NULL,19137.63,132900.21000000005,NULL,2,2,1,0,0.0,2024-12-31,9999-12-31,1,France
257,15572294,28,Male,84,623,1,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
259,15572360,30,Male,120,683,1,0,NULL,13977.96,58241.48833333332,-2.5650000000000004,4,3,1,0,0.0,2024-12-31,9999-12-31,1,France
265,15572415,34,Male,72,580,2,0,NULL,0.0,0.0,NULL,0,0,5,2,0.4,2024-12-31,9999-12-31,1,France
268,15572467,37,Male,60,506,2,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
269,15572547,45,Female,108,670,2,1,2024-07,22539.3,104348.62631578949,-4.8,1,1,4,2,0.5,2024-12-31,9999-12-31,1,France
271,15572631,25,Male,120,609,2,0,NULL,0.0,0.0,NULL,0,0,4,2,0.5,2024-12-31,9999-12-31,1,France
272,15572657,29,Male,96,472,1,0,NULL,19623.01,102203.1825,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
273,15572706,37,Male,60,589,2,0,NULL,0.0,0.0,-6.73,2,1,1,0,0.0,2024-12-31,9999-12-31,1,France
277,15572767,29,Male,24,777,2,0,NULL,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
281,15572956,36,Male,60,683,2,0,NULL,13437.63,111980.22541666667,NULL,1,1,4,0,0.0,2024-12-31,9999-12-31,1,France
282,15573045,62,Male,120,547,2,0,NULL,30670.31,127792.94,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
284,15573086,42,Male,84,564,1,0,NULL,17078.46,101657.49416666669,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
286,15573152,41,Female,108,620,3,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
288,15573242,50,Male,72,691,2,0,NULL,20097.02,139562.65708333332,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
289,15573278,39,Male,72,743,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
291,15573284,45,Female,24,579,3,0,NULL,0.0,0.0,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
293,15573318,26,Male,96,610,1,0,NULL,0.0,0.0,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
295,15573348,35,Male,108,850,1,0,NULL,22002.27,101862.34583333334,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
299,15573599,57,Female,72,506,2,1,2024-02,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
303,15573769,24,Female,84,764,2,0,NULL,0.0,0.0,NULL,1,0,1,0,0.0,2024-12-31,9999-12-31,1,France
304,15573798,36,Female,72,448,2,0,NULL,12207.39,84773.56166666666,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
305,15573851,38,Female,12,735,2,1,2024-08,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
306,15573854,62,Male,60,727,3,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
311,15573971,44,Male,84,737,1,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
312,15574004,27,Female,72,429,2,0,NULL,17357.75,120539.96333333332,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
316,15574072,62,Female,96,786,2,0,NULL,0.0,0.0,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
319,15574122,34,Male,60,817,1,0,NULL,15288.63,127405.22583333332,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
322,15574167,33,Male,24,665,1,0,NULL,4887.68,101826.60916666665,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
324,15574206,37,Female,84,718,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
325,15574213,53,Female,12,789,1,1,2024-01,3719.07,154961.0892307692,NULL,1,0,4,2,0.5,2024-12-31,9999-12-31,1,France
326,15574237,21,Female,96,588,2,0,NULL,0.0,0.0,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
327,15574283,31,Male,24,580,3,0,NULL,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
328,15574296,23,Male,24,757,2,0,NULL,3959.26,82484.49666666666,NULL,0,0,4,1,0.25,2024-12-31,9999-12-31,1,France
329,15574305,36,Male,36,680,1,0,NULL,8508.56,118174.40541666669,-6.39,4,2,2,0,0.0,2024-12-31,9999-12-31,1,France
332,15574352,43,Male,48,850,1,0,NULL,15188.74,158216.03958333333,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
334,15574372,35,Male,60,738,1,0,NULL,19507.03,162558.55125000002,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
336,15574523,39,Male,12,576,3,0,NULL,0.0,0.0,15.52,3,2,4,1,0.25,2024-12-31,9999-12-31,1,France
339,15574584,33,Male,96,670,1,0,NULL,23978.7,124889.03833333334,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
340,15574608,36,Male,96,713,1,0,NULL,25405.57,132320.68999999997,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
343,15574761,41,Female,36,466,2,1,2024-07,2393.94,33249.124736842095,NULL,2,1,0,0,NULL,2024-12-31,9999-12-31,1,France
344,15574783,37,Female,12,584,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
345,15574795,38,Female,24,495,1,0,NULL,3094.68,64472.500833333324,-1.0999999999999999,8,4,1,1,1.0,2024-12-31,9999-12-31,1,France
348,15574858,37,Male,96,530,3,0,NULL,0.0,0.0,NULL,2,1,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
351,15574886,32,Male,72,706,1,0,NULL,13797.4,95815.28958333335,NULL,0,0,5,1,0.2,2024-12-31,9999-12-31,1,France
352,15574910,50,Male,24,601,1,0,NULL,5762.93,120061.1025,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
353,15574947,36,Male,96,656,2,0,NULL,18544.96,96588.35041666665,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
354,15575002,29,Male,48,676,1,0,NULL,13359.99,139166.5141666667,NULL,2,1,4,1,0.25,2024-12-31,9999-12-31,1,France
355,15575024,29,Male,36,503,1,0,NULL,0.0,0.0,NULL,2,1,4,2,0.5,2024-12-31,9999-12-31,1,France
356,15575060,24,Male,60,797,2,0,NULL,0.0,0.0,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
357,15575119,71,Male,36,779,2,1,2024-05,0.0,0.0,9.38,5,2,2,0,0.0,2024-12-31,9999-12-31,1,France
359,15575147,22,Male,108,699,1,1,2024-04,21267.74,98461.740625,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
361,15575214,37,Male,84,709,1,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
362,15575243,39,Female,12,764,2,0,NULL,3017.07,125711.39000000001,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
363,15575247,30,Male,12,524,1,0,NULL,0.0,0.0,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
364,15575391,37,Female,36,677,3,0,NULL,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
365,15575399,42,Female,12,480,3,0,NULL,3663.88,152661.53458333336,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
370,15575430,33,Female,12,579,1,0,NULL,2828.41,117850.51666666665,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
371,15575438,42,Male,84,613,1,0,NULL,19034.92,113303.06624999999,-16.65,3,2,4,0,0.0,2024-12-31,9999-12-31,1,France
373,15575486,27,Female,12,529,1,0,NULL,0.0,0.0,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
374,15575492,41,Female,84,828,3,0,NULL,0.0,0.0,NULL,2,1,5,1,0.2,2024-12-31,9999-12-31,1,France
375,15575498,39,Female,60,705,2,0,NULL,17853.39,148778.27416666667,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
376,15575510,32,Female,24,659,1,0,NULL,7526.25,156796.95416666663,NULL,0,0,1,0,0.0,2024-12-31,9999-12-31,1,France
378,15575605,38,Male,72,725,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
380,15575623,31,Female,120,589,1,0,NULL,26657.59,111073.27750000001,-0.5,3,2,0,0,NULL,2024-12-31,9999-12-31,1,France
381,15575676,24,Male,12,638,2,0,NULL,0.0,0.0,2.12,4,1,4,0,0.0,2024-12-31,9999-12-31,1,France
382,15575679,24,Male,84,590,1,0,NULL,21228.18,126358.19625000002,NULL,0,0,3,1,0.3333333333333333,2024-12-31,9999-12-31,1,France
383,15575691,58,Female,60,689,2,0,NULL,0.0,0.0,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
385,15575748,36,Male,108,809,2,0,NULL,15136.83,70077.90625,NULL,1,1,0,0,NULL,2024-12-31,9999-12-31,1,France
387,15575858,40,Male,36,763,2,0,NULL,0.0,0.0,2.5599999999999996,2,0,0,0,NULL,2024-12-31,9999-12-31,1,France
388,15575883,34,Male,24,559,2,0,NULL,6525.61,135950.16166666665,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
389,15575935,59,Male,0,673,1,1,2024-03,0.0,176740.45533333335,NULL,0,0,0,0,NULL,2024-12-31,9999-12-31,1,France
390,15575955,24,Female,0,764,1,0,NULL,0.0,0.0,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
391,15576000,40,Male,72,765,1,0,NULL,19646.71,136435.50375,1.28,5,3,0,0,NULL,2024-12-31,9999-12-31,1,France
392,15576022,38,Male,60,565,1,0,NULL,0.0,0.0,-4.38,3,2,4,1,0.25,2024-12-31,9999-12-31,1,France
395,15576077,27,Female,108,610,1,0,NULL,34490.53,159678.395,NULL,4,1,0,0,NULL,2024-12-31,9999-12-31,1,France
396,15576085,41,Male,60,739,1,0,NULL,0.0,0.0,NULL,1,1,5,1,0.2,2024-12-31,9999-12-31,1,France
397,15576094,71,Male,0,743,2,0,NULL,0.0,0.0,NULL,1,1,3,0,0.0,2024-12-31,9999-12-31,1,France
399,15576124,41,Male,12,582,1,0,NULL,944.75,39364.695,NULL,0,0,3,2,0.6666666666666666,2024-12-31,9999-12-31,1,France
400,15576126,41,Female,24,649,1,0,NULL,6000.17,125003.52375000001,NULL,0,0,2,1,0.5,2024-12-31,9999-12-31,1,France
401,15576131,40,Male,60,666,2,0,NULL,0.0,0.0,NULL,2,1,0,0,NULL,2024-12-31,9999-12-31,1,France
403,15576162,32,Male,84,615,1,0,NULL,15965.55,95033.01999999997,NULL,0,0,3,0,0.0,2024-12-31,9999-12-31,1,France
404,15576185,29,Male,24,653,2,0,NULL,0.0,0.0,NULL,2,2,0,0,NULL,2024-12-31,9999-12-31,1,France
407,15576219,32,Male,48,615,3,0,NULL,0.0,0.0,NULL,0,0,5,0,0.0,2024-12-31,9999-12-31,1,France
408,15576256,39,Male,60,582,1,0,NULL,0.0,0.0,NULL,2,0,1,1,1.0,2024-12-31,9999-12-31,1,France
409,15576263,22,Female,60,759,1,0,NULL,0.0,0.0,NULL,4,4,1,0,0.0,2024-12-31,9999-12-31,1,France
411,15576304,29,Male,60,698,2,0,NULL,11626.62,96888.46874999999,NULL,0,0,2,0,0.0,2024-12-31,9999-12-31,1,France
414,15576360,40,Male,12,600,1,0,NULL,3310.77,137948.82083333333,NULL,0,0,4,0,0.0,2024-12-31,9999-12-31,1,France
